participant_id,n_items,n_appropriate,n_inappropriate,max_observed_run,same_word_gap_requested,same_word_gap_used,same_word_gap_violations,attempts,status
sim-0307,40,20,20,2,8,8,0,6,requested_constraints_satisfied
sim-0308,40,20,20,2,8,8,0,83,requested_constraints_satisfied
sim-0309,40,20,20,2,8,8,0,6,requested_constraints_satisfied
sim-0310,40,20,20,2,8,8,0,19,requested_constraints_satisfied
sim-0311,40,20,20,2,8,8,0,15,requested_constraints_satisfied
sim-0312,40,20,20,2,8,8,0,15,requested_constraints_satisfied
sim-0313,40,20,20,2,8,8,0,2,requested_constraints_satisfied
sim-0314,40,20,20,2,8,8,0,5,requested_constraints_satisfied
sim-0315,40,20,20,2,8,8,0,83,requested_constraints_satisfied
sim-0316,40,20,20,2,8,8,0,17,requested_constraints_satisfied
sim-0317,40,20,20,2,8,8,0,8,requested_constraints_satisfied
sim-0318,40,20,20,2,8,8,0,18,requested_constraints_satisfied
sim-0319,40,20,20,2,8,8,0,35,requested_constraints_satisfied
sim-0320,40,20,20,2,8,8,0,20,requested_constraints_satisfied
sim-0321,40,20,20,2,8,8,0,11,requested_constraints_satisfied
sim-0322,40,20,20,2,8,8,0,27,requested_constraints_satisfied
sim-0323,40,20,20,2,8,8,0,33,requested_constraints_satisfied
sim-0324,40,20,20,2,8,8,0,35,requested_constraints_satisfied
sim-0325,40,20,20,2,8,8,0,41,requested_constraints_satisfied
sim-0326,40,20,20,2,8,8,0,75,requested_constraints_satisfied
sim-0327,40,20,20,2,8,8,0,4,requested_constraints_satisfied
sim-0328,40,20,20,2,8,8,0,14,requested_constraints_satisfied
sim-0329,40,20,20,2,8,8,0,2,requested_constraints_satisfied
sim-0330,40,20,20,2,8,8,0,7,requested_constraints_satisfied
sim-0331,40,20,20,2,8,8,0,1,requested_constraints_satisfied
sim-0332,40,20,20,2,8,8,0,33,requested_constraints_satisfied
sim-0333,40,20,20,2,8,8,0,13,requested_constraints_satisfied
sim-0334,40,20,20,2,8,8,0,30,requested_constraints_satisfied
sim-0335,40,20,20,2,8,8,0,16,requested_constraints_satisfied
sim-0336,40,20,20,2,8,8,0,18,requested_constraints_satisfied
sim-0337,40,20,20,2,8,8,0,1,requested_constraints_satisfied
sim-0338,40,20,20,2,8,8,0,7,requested_constraints_satisfied
sim-0339,40,20,20,2,8,8,0,9,requested_constraints_satisfied
sim-0340,40,20,20,2,8,8,0,53,requested_constraints_satisfied
sim-0341,40,20,20,2,8,8,0,20,requested_constraints_satisfied
sim-0342,40,20,20,2,8,8,0,12,requested_constraints_satisfied
sim-0343,40,20,20,2,8,8,0,17,requested_constraints_satisfied
sim-0344,40,20,20,2,8,8,0,36,requested_constraints_satisfied
sim-0345,40,20,20,2,8,8,0,59,requested_constraints_satisfied
sim-0346,40,20,20,2,8,8,0,25,requested_constraints_satisfied
sim-0347,40,20,20,2,8,8,0,3,requested_constraints_satisfied
sim-0348,40,20,20,2,8,8,0,30,requested_constraints_satisfied
sim-0349,40,20,20,2,8,8,0,17,requested_constraints_satisfied
sim-0350,40,20,20,2,8,8,0,11,requested_constraints_satisfied
sim-0351,40,20,20,2,8,8,0,37,requested_constraints_satisfied
sim-0352,40,20,20,2,8,8,0,5,requested_constraints_satisfied
sim-0353,40,20,20,2,8,8,0,4,requested_constraints_satisfied
sim-0354,40,20,20,2,8,8,0,3,requested_constraints_satisfied
sim-0355,40,20,20,2,8,8,0,18,requested_constraints_satisfied
sim-0356,40,20,20,2,8,8,0,16,requested_constraints_satisfied
sim-0357,40,20,20,2,8,8,0,1,requested_constraints_satisfied
sim-0358,40,20,20,2,8,8,0,3,requested_constraints_satisfied
sim-0359,40,20,20,2,8,8,0,12,requested_constraints_satisfied
sim-0360,40,20,20,2,8,8,0,17,requested_constraints_satisfied
sim-0361,40,20,20,2,8,8,0,39,requested_constraints_satisfied
sim-0362,40,20,20,2,8,8,0,58,requested_constraints_satisfied
sim-0363,40,20,20,2,8,8,0,53,requested_constraints_satisfied
sim-0364,40,20,20,2,8,8,0,18,requested_constraints_satisfied
sim-0365,40,20,20,2,8,8,0,1,requested_constraints_satisfied
sim-0366,40,20,20,2,8,8,0,8,requested_constraints_satisfied
sim-0367,40,20,20,2,8,8,0,9,requested_constraints_satisfied
sim-0368,40,20,20,2,8,8,0,23,requested_constraints_satisfied
sim-0369,40,20,20,2,8,8,0,3,requested_constraints_satisfied
sim-0370,40,20,20,2,8,8,0,10,requested_constraints_satisfied
sim-0371,40,20,20,2,8,8,0,2,requested_constraints_satisfied
sim-0372,40,20,20,2,8,8,0,4,requested_constraints_satisfied
sim-0373,40,20,20,2,8,8,0,9,requested_constraints_satisfied
sim-0374,40,20,20,2,8,8,0,58,requested_constraints_satisfied
sim-0375,40,20,20,2,8,8,0,24,requested_constraints_satisfied
sim-0376,40,20,20,2,8,8,0,17,requested_constraints_satisfied
sim-0377,40,20,20,2,8,8,0,13,requested_constraints_satisfied
sim-0378,40,20,20,2,8,8,0,44,requested_constraints_satisfied
sim-0379,40,20,20,2,8,8,0,19,requested_constraints_satisfied
sim-0380,40,20,20,2,8,8,0,92,requested_constraints_satisfied
sim-0381,40,20,20,2,8,8,0,5,requested_constraints_satisfied
sim-0382,40,20,20,2,8,8,0,55,requested_constraints_satisfied
sim-0383,40,20,20,2,8,8,0,4,requested_constraints_satisfied
sim-0384,40,20,20,2,8,8,0,2,requested_constraints_satisfied
sim-0385,40,20,20,2,8,8,0,10,requested_constraints_satisfied
sim-0386,40,20,20,2,8,8,0,3,requested_constraints_satisfied
sim-0387,40,20,20,2,8,8,0,10,requested_constraints_satisfied
sim-0388,40,20,20,2,8,8,0,12,requested_constraints_satisfied
sim-0389,40,20,20,2,8,8,0,16,requested_constraints_satisfied
sim-0390,40,20,20,2,8,8,0,3,requested_constraints_satisfied
sim-0391,40,20,20,2,8,8,0,1,requested_constraints_satisfied
sim-0392,40,20,20,2,8,8,0,14,requested_constraints_satisfied
sim-0393,40,20,20,2,8,8,0,35,requested_constraints_satisfied
sim-0394,40,20,20,2,8,8,0,46,requested_constraints_satisfied
sim-0395,40,20,20,2,8,8,0,3,requested_constraints_satisfied
sim-0396,40,20,20,2,8,8,0,5,requested_constraints_satisfied
sim-0397,40,20,20,2,8,8,0,70,requested_constraints_satisfied
sim-0398,40,20,20,2,8,8,0,23,requested_constraints_satisfied
sim-0399,40,20,20,2,8,8,0,36,requested_constraints_satisfied
sim-0400,40,20,20,2,8,8,0,21,requested_constraints_satisfied
